ROUTE_ID;OBJECT_NUM;START_TIME;END_TIME
34955141;1;01.03.2020 08:42:34;01.03.2020 08:52:25
34955141;2;01.03.2020 09:01:31;01.03.2020 09:15:11
34955141;3;01.03.2020 09:25:05;01.03.2020 09:36:33
34955141;4;01.03.2020 09:55:53;01.03.2020 10:07:52
34955141;5;01.03.2020 10:07:56;01.03.2020 10:17:13
34955141;6;01.03.2020 10:17:16;01.03.2020 10:40:55
34955141;7;01.03.2020 10:56:14;01.03.2020 11:05:36
34955141;8;01.03.2020 11:14:05;01.03.2020 11:22:11
34955141;9;01.03.2020 11:31:46;01.03.2020 11:47:14
34955141;10;01.03.2020 12:07:36;01.03.2020 12:24:37
34955141;11;01.03.2020 12:24:45;01.03.2020 12:36:17
34955141;12;01.03.2020 12:45:08;01.03.2020 13:00:41
34955141;13;01.03.2020 13:02:35;01.03.2020 13:15:16
34955141;14;01.03.2020 13:43:29;01.03.2020 14:06:33
34955141;15;01.03.2020 14:09:06;01.03.2020 14:16:24
34955141;16;01.03.2020 14:16:28;01.03.2020 14:30:50
34955141;17;01.03.2020 14:39:57;01.03.2020 14:48:40
34955141;18;01.03.2020 14:56:20;01.03.2020 15:05:35
34955141;19;01.03.2020 15:18:36;01.03.2020 15:28:27
34955141;20;01.03.2020 15:37:28;01.03.2020 15:52:50
34955141;21;01.03.2020 15:56:47;01.03.2020 16:07:56
34955141;22;01.03.2020 16:18:44;01.03.2020 16:28:42
34955141;23;01.03.2020 16:28:46;01.03.2020 16:40:01
34955141;24;01.03.2020 16:51:17;01.03.2020 17:10:08
34955141;25;01.03.2020 17:10:11;01.03.2020 17:12:48
34955141;26;01.03.2020 17:12:52;01.03.2020 17:14:58
34955141;27;01.03.2020 17:25:09;01.03.2020 17:36:37
34955141;28;01.03.2020 17:49:11;01.03.2020 18:01:26
34955141;29;01.03.2020 18:29:40;01.03.2020 18:35:32
34955141;30;01.03.2020 18:35:47;01.03.2020 18:43:18
34955141;31;01.03.2020 18:53:02;01.03.2020 19:01:38
34955626;1;01.03.2020 16:33:20;01.03.2020 16:40:59
34955626;2;01.03.2020 16:51:51;01.03.2020 16:57:08
34955626;3;01.03.2020 17:19:34;01.03.2020 17:21:20
34955626;4;01.03.2020 17:21:28;01.03.2020 17:23:40
34955626;5;01.03.2020 17:23:48;01.03.2020 17:27:38
34955626;6;01.03.2020 17:27:44;01.03.2020 17:31:19
34955626;7;01.03.2020 17:31:28;01.03.2020 17:36:15
34955626;8;01.03.2020 17:36:20;01.03.2020 17:39:34
34955626;9;01.03.2020 17:39:54;01.03.2020 17:46:37
34955626;10;01.03.2020 17:47:08;01.03.2020 17:56:07
34955626;11;01.03.2020 18:01:19;01.03.2020 18:05:09
34955626;12;01.03.2020 18:05:17;01.03.2020 18:13:28
34955626;13;01.03.2020 18:13:42;01.03.2020 18:23:09
34955626;14;01.03.2020 18:23:12;01.03.2020 18:30:08
34955626;15;01.03.2020 18:35:40;01.03.2020 18:38:48
34955626;16;01.03.2020 18:45:36;01.03.2020 18:52:53
34955626;17;01.03.2020 18:53:17;01.03.2020 19:04:51
34955626;18;01.03.2020 19:05:19;01.03.2020 19:16:26
34955626;19;01.03.2020 19:28:55;01.03.2020 19:30:59
34955626;20;01.03.2020 19:31:28;01.03.2020 19:38:43
34955626;21;01.03.2020 19:48:00;01.03.2020 19:50:56
34955626;22;01.03.2020 19:51:26;01.03.2020 19:57:33
34955626;23;01.03.2020 20:05:13;01.03.2020 20:14:17
34955626;24;01.03.2020 20:14:30;01.03.2020 20:20:52
34955626;25;01.03.2020 20:21:28;01.03.2020 20:26:42
34955626;26;01.03.2020 20:34:25;01.03.2020 20:37:18
34955626;27;01.03.2020 20:37:26;01.03.2020 20:43:22
34955626;28;01.03.2020 20:51:59;01.03.2020 20:54:44
34955626;29;01.03.2020 20:55:00;01.03.2020 21:04:55
34955626;30;01.03.2020 21:05:06;01.03.2020 21:13:41
34955626;31;01.03.2020 21:25:10;01.03.2020 21:34:10
34955626;32;01.03.2020 21:58:27;01.03.2020 22:04:36
34955626;33;01.03.2020 22:04:40;01.03.2020 22:17:50
34955741;1;01.03.2020 13:57:44;01.03.2020 14:00:14
